Algorithm,K,TrainingSize,AvgCorrect,StdCorrect,AvgAccuracy,StdAccuracy
KNN.MeanKnn,4,50,229.208333333333,3.54705472501091,0.9168333436052,0.0141882112446682
KNN.MeanKnn,4,100,182.875,2.04761039588427,0.914375004669031,0.0102380629864159
KNN.SimpleSolver,4,50,228.458333333333,3.570471101814,0.913833340009054,0.0142818789483962
KNN.SimpleSolver,4,100,181.583333333333,3.14797112792068,0.907916657626629,0.0157398640995649
KNN.MeanKnn,6,50,230.666666666667,1.95078331845327,0.922666663924853,0.00780312447421688
KNN.MeanKnn,6,100,184.833333333333,2.91070819942883,0.924166671931744,0.014553536930053
KNN.SimpleSolver,6,50,229.416666666667,2.21578930005139,0.917666668693225,0.0088631635799998
KNN.SimpleSolver,6,100,182.833333333333,3.0368111930481,0.914166674017906,0.0151840602941783
KNN.MeanKnn,8,50,228.791666666667,3.82948176070282,0.915166658659776,0.0153179203087149
KNN.MeanKnn,8,100,182.875,2.94833992838908,0.914375012119611,0.0147417045359891
KNN.SimpleSolver,8,50,229,3.278719262151,0.916000008583069,0.0131148763577982
KNN.SimpleSolver,8,100,182.25,3.39423530906938,0.911249997715155,0.0169711857865942
KNN.MeanKnn,16,50,225.541666666667,5.7733523383059,0.902166672050953,0.0230934202699552
KNN.MeanKnn,16,100,184.041666666667,3.03423750260625,0.920208339889844,0.0151711879141058
KNN.SimpleSolver,16,50,226.541666666667,2.95774642065355,0.906166680157185,0.0118309832792098
KNN.SimpleSolver,16,100,183.666666666667,2.70287912337114,0.91833333671093,0.0135144020242788
