Algorithm,K,TrainingSize,AvgCorrect,StdCorrect,AvgAccuracy,StdAccuracy
KNN.MeanKnn,4,500,2316.54166666667,7.49988425836618,0.926616666217645,0.00299995619421368
KNN.MeanKnn,4,1000,1851.5,7.84750491132904,0.925749997297923,0.0039237522582177
KNN.SimpleSolver,4,500,2303.41666666667,12.867648926237,0.92136666427056,0.0051470561950066
KNN.SimpleSolver,4,1000,1843,8.88819441731559,0.921500007311503,0.00444409727351902
KNN.MeanKnn,6,500,2322.875,8.0068330193654,0.92915000518163,0.00320273829863992
KNN.MeanKnn,6,1000,1860.66666666667,5.12889418447637,0.930333326260249,0.00256444926291831
KNN.SimpleSolver,6,500,2314.25,10.552448373087,0.925700003902117,0.00422097642997836
KNN.SimpleSolver,6,1000,1851.33333333333,9.12718771339538,0.925666667521,0.00456359396702299
KNN.MeanKnn,8,500,2326.83333333333,8.74483974822994,0.93073333054781,0.00349793135360985
KNN.MeanKnn,8,1000,1861.66666666667,6.32235891279689,0.930833332240582,0.00316118327671824
KNN.SimpleSolver,8,500,2318.29166666667,9.82971331671931,0.927316663165887,0.0039318940054961
KNN.SimpleSolver,8,1000,1856.95833333333,8.17760746727849,0.928479162355264,0.0040888046883992
KNN.MeanKnn,16,500,2325.83333333333,10.4309901522126,0.930333331227303,0.00417240169117328
KNN.MeanKnn,16,1000,1863.20833333333,8.58282765500715,0.931604164342085,0.00429141125887497
KNN.SimpleSolver,16,500,2326.95833333333,7.39639082405887,0.930783336361249,0.00295855561123643
KNN.SimpleSolver,16,1000,1861.66666666667,7.85104380887592,0.930833332240582,0.00392552398128813
KNN.MeanKnn,32,500,2320.5,9.15605446321358,0.928199996550878,0.0036624243792784
KNN.MeanKnn,32,1000,1865.41666666667,8.02037336343445,0.932708337903023,0.00401018911232205
KNN.SimpleSolver,32,500,2325.08333333333,9.27773619418492,0.930033333599567,0.00371108937256015
KNN.SimpleSolver,32,1000,1865,8.43603382322918,0.932499999801318,0.00421801500868484
