Algorithm,K,TrainingSize,AvgCorrect,StdCorrect,AvgAccuracy,StdAccuracy
KNN.MeanKnn,8,5000,23388.75,22.0987367663101,0.935549994309743,0.000883944480384
KNN.MeanKnn,8,10000,18706.5833333333,27.9029817203984,0.935329169034958,0.00139515103546277
KNN.SimpleSolver,8,5000,23338.3333333333,25.9401019444583,0.933533330758413,0.00103760917027015
KNN.SimpleSolver,8,10000,18669.9166666667,32.734941406529,0.933495839436849,0.00163674604033225
KNN.MeanKnn,12,5000,23389.4166666667,24.6456836428252,0.935576672355334,0.000985823162684693
KNN.MeanKnn,12,10000,18726.25,16.6739567389787,0.936312491695086,0.000833701979596167
KNN.SimpleSolver,12,5000,23379.25,25.4071020254836,0.935170009732246,0.00101628366515131
KNN.SimpleSolver,12,10000,18707.9166666667,20.0393709703895,0.935395826896032,0.00100196471740081
KNN.MeanKnn,16,5000,23394,21.7753683474394,0.935760006308556,0.000871018301206569
KNN.MeanKnn,16,10000,18726.9166666667,29.9261823306764,0.936345830559731,0.00149631129715502
KNN.SimpleSolver,16,5000,23390.4166666667,25.2469745162113,0.935616667071978,0.00100987629203497
KNN.SimpleSolver,16,10000,18721.5,26.6786431439082,0.936075006922086,0.0013339318607549
KNN.MeanKnn,32,5000,23386.3333333333,20.584514136171,0.935453335444132,0.000823376775998902
KNN.MeanKnn,32,10000,18730.25,31.2039660940721,0.936512509981791,0.0015602019177872
KNN.SimpleSolver,32,5000,23401.9166666667,24.8477307258072,0.936076660950979,0.000993913331749956
KNN.SimpleSolver,32,10000,18742.8333333333,33.2285854181138,0.937141671776772,0.00166142232314871
