Algorithm,K,TrainingSize,AvgCorrect,StdCorrect,AvgAccuracy,StdAccuracy
KNN.MeanKnn,4,250,1165.66666666667,8.01387685344754,0.932533336182435,0.00641109988913488
KNN.MeanKnn,4,500,930.958333333333,5.22397650794445,0.93095833559831,0.00522398062216766
KNN.SimpleSolver,4,250,1160.04166666667,9.37407402834482,0.928033332029978,0.00749925623916431
KNN.SimpleSolver,4,500,928,5.52268050859363,0.927999993165334,0.00552268135765116
KNN.MeanKnn,6,250,1163.08333333333,5.29084639311666,0.930466669301192,0.00423267573317474
KNN.MeanKnn,6,500,930.25,5.51701912267848,0.930249998966853,0.00551702169399404
KNN.SimpleSolver,6,250,1161.16666666667,5.7710965643936,0.928933334847291,0.00461687801547638
KNN.SimpleSolver,6,500,928.791666666667,6.18451808056933,0.928791664540768,0.0061845191398036
KNN.MeanKnn,8,250,1161.25,6.9537160329328,0.928999995191892,0.00556296788539564
KNN.MeanKnn,8,500,933.625,4.72416218321655,0.933625002702077,0.00472416937492011
KNN.SimpleSolver,8,250,1161.04166666667,7.99207506777113,0.928833333154519,0.00639365728230794
KNN.SimpleSolver,8,500,933.166666666667,5.47468923521895,0.933166667819023,0.00547469163529252
KNN.MeanKnn,16,250,1157.95833333333,5.57882280493734,0.926366669436296,0.00446306210239769
KNN.MeanKnn,16,500,931.708333333333,4.7300384658995,0.931708328425884,0.00473003121160441
KNN.SimpleSolver,16,250,1163,5.83809329604566,0.930399989088376,0.0046704796776734
KNN.SimpleSolver,16,500,934.291666666667,4.59600520984136,0.934291665752729,0.00459600410499117
